year,month,tmax,tmin,air frost,rain,sun,station
2009,12,7.0,1.3,12.0,84.6,60.3,heathrow
2010,1,4.5,-0.3,15.0,51.8,51.3,heathrow
2010,2,6.9,1.7,8.0,100.4,46.7,heathrow
2010,3,11.1,3.7,4.0,39.8,106.4,heathrow
2010,4,15.8,5.6,0.0,23.2,201.7,heathrow
2010,5,17.3,7.7,0.0,20.6,170.4,heathrow
2010,6,23.5,12.1,0.0,12.4,220.1,heathrow
2010,7,25.0,15.1,0.0,18.0,161.8,heathrow
2010,8,21.6,13.2,0.0,88.6,110.9,heathrow
2010,9,19.4,11.2,0.0,38.2,128.7,heathrow
2010,10,15.2,8.3,1.0,74.8,104.0,heathrow
2010,11,9.1,4.0,7.0,32.2,50.0,heathrow
2010,12,3.9,-1.5,21.0,21.4,18.5,heathrow
2011,1,7.4,2.8,8.0,76.8,35.6,heathrow
2011,2,10.2,4.8,1.0,42.8,36.2,heathrow
2011,3,12.3,3.8,4.0,14.6,126.4,heathrow
2011,4,19.7,8.6,0.0,2.4,218.0,heathrow
2011,5,19.4,9.4,0.0,24.6,218.0,heathrow
2011,6,20.7,11.0,0.0,84.0,173.5,heathrow
2011,7,21.7,12.6,0.0,49.8,173.6,heathrow
2011,8,21.8,13.4,0.0,68.8,144.1,heathrow
2011,9,21.3,12.4,0.0,35.0,161.2,heathrow
2011,10,18.1,10.1,0.0,18.4,140.4,heathrow
2011,11,13.6,7.3,0.0,29.0,52.5,heathrow
2011,12,9.9,3.8,4.0,63.0,60.6,heathrow
