Invoice,StockCode,Description,Quantity,InvoiceDate,Price,Customer ID,Country,Revenue
515119,22636,CHILDS BREAKFAST SET CIRCUS PARADE,3,2010-07-08 13:35:00,8.5,15518.0,United Kingdom,25.5
575177,23390,DOLLY GIRL MINI BACKPACK,3,2011-11-08 18:41:00,4.15,WHITE HANGING HEART T-LIGHT HOLDER,United Kingdom,12.450000000000001
563094,23035,DRAWER KNOB CERAMIC IVORY,6,2011-08-11 17:35:00,1.45,14525.0,United Kingdom,8.7
579668,20750,RED RETROSPOT MINI CASES,2,2011-11-30 12:32:00,7.95,15152.0,United Kingdom,15.9
537224,22866,HAND WARMER SCOTTY DOG DESIGN,1,2010-12-05 16:24:00,2.1,13174.0,United Kingdom,2.1
554283,23284,DOORMAT KEEP CALM AND COME IN,4,2011-05-23 14:11:00,7.95,17686.0,United Kingdom,31.8
522457,84969,BOX OF 6 ASSORTED COLOUR TEASPOONS,12,2010-09-14 15:50:00,4.25,18136.0,United Kingdom,51.0
507560,22188,BLACK HEART CARD HOLDER,4,2010-05-10 12:29:00,3.95,14361.0,United Kingdom,15.8
496073,20812,EMBOSSED FLOWER TRELLIS PHOTO FRAME,2,2010-01-28 17:13:00,2.55,13174.0,United Kingdom,5.1
557020,84970S,HANGING HEART ZINC T-LIGHT HOLDER,24,2011-06-16 12:51:00,0.85,13246.0,United Kingdom,20.4
490741,21775,DECORATIVE FLORE BATHROOM BOTTLE,2,2009-12-07 17:56:00,2.57,WHITE HANGING HEART T-LIGHT HOLDER,United Kingdom,5.14
497166,21242,RED SPOTTY PLATE ,1,2010-02-05 17:21:00,3.36,WHITE HANGING HEART T-LIGHT HOLDER,United Kingdom,3.36
570488,21866,UNION JACK FLAG LUGGAGE TAG,1,2011-10-10 17:12:00,2.46,14096.0,United Kingdom,2.46
507879,17003,BROCADE RING PURSE ,10,2010-05-11 15:03:00,0.21,16805.0,United Kingdom,2.1
507768,21259,VICTORIAN SEWING BOX SMALL ,2,2010-05-11 12:23:00,5.95,16525.0,United Kingdom,11.9
530115,22743,MAKE YOUR OWN FLOWERPOWER CARD KIT,1,2010-11-01 14:22:00,2.95,17190.0,United Kingdom,2.95
550288,22230,JIGSAW TREE WITH WATERING CAN,2,2011-04-15 14:21:00,0.85,17367.0,United Kingdom,1.7
490534,20968,GREEN FLORAL FELTCRAFT SHOULDER BAG,1,2009-12-06 16:17:00,3.75,17530.0,United Kingdom,3.75
527401,21485,RETROSPOT HEART HOT WATER BOTTLE,2,2010-10-17 14:17:00,4.95,14507.0,United Kingdom,9.9
513609,22525,CHILDRENS GARDEN GLOVES PINK,1,2010-06-27 12:07:00,1.25,14606.0,United Kingdom,1.25
556910,20984,12 PENCILS TALL TUBE POSY,24,2011-06-15 13:25:00,0.29,12748.0,United Kingdom,6.959999999999999
573814,85071B,RED CHARLIE+LOLA PERSONAL DOORSIGN,2,2011-11-01 11:31:00,0.39,13268.0,United Kingdom,0.78
537240,22730,ALARM CLOCK BAKELIKE IVORY,3,2010-12-06 10:08:00,7.62,WHITE HANGING HEART T-LIGHT HOLDER,United Kingdom,22.86
579555,23329,DECORATIVE WICKER HEART LARGE,2,2011-11-30 11:08:00,1.65,16241.0,United Kingdom,3.3
535803,21211,SET OF 72 SKULL PAPER  DOILIES,1,2010-11-28 14:57:00,1.45,14410.0,United Kingdom,1.45
556115,22329,ROUND CONTAINER SET OF 5 RETROSPOT,12,2011-06-09 09:39:00,1.65,15241.0,United Kingdom,19.799999999999997
530850,22523,CHILDS GARDEN FORK PINK,1,2010-11-04 14:49:00,1.66,WHITE HANGING HEART T-LIGHT HOLDER,United Kingdom,1.66
527252,21172,PARTY METAL SIGN ,12,2010-10-15 12:30:00,1.45,15207.0,United Kingdom,17.4
564817,21739,COSY SLIPPER SHOES SMALL GREEN,1,2011-08-30 12:02:00,2.46,WHITE HANGING HEART T-LIGHT HOLDER,United Kingdom,2.46
516333,16156S,WRAP PINK FAIRY CAKES ,25,2010-07-19 16:18:00,0.42,17188.0,United Kingdom,10.5
546774,22548,HEADS AND TAILS SPORTING FUN,1,2011-03-16 15:45:00,1.25,14505.0,United Kingdom,1.25
562085,22273,FELTCRAFT DOLL MOLLY,8,2011-08-02 12:27:00,2.95,15228.0,United Kingdom,23.6
578270,22792,FLUTED ANTIQUE CANDLE HOLDER,3,2011-11-23 13:39:00,1.63,14096.0,United Kingdom,4.89
516775,20961,STRAWBERRY BATH SPONGE ,72,2010-07-22 19:23:00,1.25,15061.0,United Kingdom,90.0
